id,error_message,error_code,occurred_at,user_id,ip_address,url,http_method,user_agent,stack_trace
1,User session expired,401,2023-10-13 22:34:43.101284,42,135.66.248.41,https://www.apparentintelligence.com/login,PUT,Mozilla/5.0 (Windows NT 5.01; nhn-MX; rv:1.9.2.20) Gecko/2015-11-27 05:00:51 Firefox/3.8,"Traceback (most recent call last):
  File ""/app/cart.py"", line 278, in <module>
    raise Exception('Database connection error')
Exception: Database connection error"
2,Failed to add item to wishlist,500,2023-10-14 01:38:05.101284,74,128.215.83.39,https://www.apparentintelligence.com/wishlist,DELETE,Opera/9.87.(Windows NT 10.0; cs-CZ) Presto/2.9.162 Version/10.00,"Traceback (most recent call last):
  File ""/app/product-detail.py"", line 423, in <module>
    raise Exception('Cart update failed')
Exception: Cart update failed"
3,Cart update failed,400,2023-10-14 02:09:19.101284,32,222.234.96.45,https://www.apparentintelligence.com/cart,POST,Opera/8.20.(Windows NT 10.0; fil-PH) Presto/2.9.189 Version/11.00,"Traceback (most recent call last):
  File ""/app/checkout.py"", line 149, in <module>
    raise Exception('User authentication failed')
Exception: User authentication failed"
4,Search query failed,500,2023-10-14 02:25:47.101284,178,136.164.78.30,https://www.apparentintelligence.com/search,POST,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; ur-PK) AppleWebKit/535.8.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B115 Safari/6535.8.5","Traceback (most recent call last):
  File ""/app/account.py"", line 161, in <module>
    raise Exception('Item not available in stock')
Exception: Item not available in stock"
5,Failed to load product details,500,2023-10-14 13:40:26.101284,138,165.5.117.48,https://www.apparentintelligence.com/product-listing,DELETE,Opera/8.10.(Windows NT 6.1; vi-VN) Presto/2.9.164 Version/12.00,"Traceback (most recent call last):
  File ""/app/checkout.py"", line 219, in <module>
    raise Exception('Failed to load checkout page')
Exception: Failed to load checkout page"
6,Item not available in stock,404,2023-10-14 18:42:43.101284,184,70.2.46.150,https://www.apparentintelligence.com/product-detail,GET,Mozilla/5.0 (Windows NT 5.1; fil-PH; rv:1.9.0.20) Gecko/2021-01-24 00:50:45 Firefox/9.0,"Traceback (most recent call last):
  File ""/app/account.py"", line 250, in <module>
    raise Exception('Item not available in stock')
Exception: Item not available in stock"
7,Item not available in stock,404,2023-10-15 02:11:53.101284,19,221.253.170.84,https://www.apparentintelligence.com/product-detail,PUT,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; it-CH) AppleWebKit/532.38.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6532.38.6","Traceback (most recent call last):
  File ""/app/product-listing.py"", line 213, in <module>
    raise Exception('Payment gateway timeout')
Exception: Payment gateway timeout"
8,Cart update failed,400,2023-10-15 13:15:11.101284,54,208.35.38.186,https://www.apparentintelligence.com/cart,DELETE,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/41.0.899.0 Safari/533.2","Traceback (most recent call last):
  File ""/app/product-listing.py"", line 367, in <module>
    raise Exception('Item not available in stock')
Exception: Item not available in stock"
9,Failed to add item to wishlist,500,2023-10-15 13:51:40.101284,97,218.124.181.214,https://www.apparentintelligence.com/wishlist,PUT,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; gu-IN) AppleWebKit/534.14.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6534.14.3","Traceback (most recent call last):
  File ""/app/product-detail.py"", line 362, in <module>
    raise Exception('Cart update failed')
Exception: Cart update failed"
10,Payment gateway timeout,504,2023-10-15 14:27:02.101284,200,144.193.187.75,https://www.apparentintelligence.com/checkout,GET,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/56.0.865.0 Safari/535.2","Traceback (most recent call last):
  File ""/app/product-detail.py"", line 435, in <module>
    raise Exception('User authentication failed')
Exception: User authentication failed"
11,Search query failed,500,2023-10-15 16:12:09.101284,11,21.222.247.34,https://www.apparentintelligence.com/search,PUT,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/4.0),"Traceback (most recent call last):
  File ""/app/login.py"", line 88, in <module>
    raise Exception('Invalid coupon code')
Exception: Invalid coupon code"
12,User authentication failed,401,2023-10-16 00:34:44.101284,33,211.222.250.209,https://www.apparentintelligence.com/account,PUT,Opera/9.16.(Windows NT 5.2; ru-UA) Presto/2.9.178 Version/12.00,"Traceback (most recent call last):
  File ""/app/order-history.py"", line 365, in <module>
    raise Exception('Failed to load checkout page')
Exception: Failed to load checkout page"
13,Cart update failed,400,2023-10-16 02:22:35.101284,177,16.90.212.131,https://www.apparentintelligence.com/cart,PUT,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/57.0.808.0 Safari/532.1","Traceback (most recent call last):
  File ""/app/cart.py"", line 443, in <module>
    raise Exception('Failed to load product details')
Exception: Failed to load product details"
14,Cart update failed,400,2023-10-16 07:36:03.101284,152,14.11.181.141,https://www.apparentintelligence.com/cart,GET,Opera/9.60.(Windows NT 5.0; fil-PH) Presto/2.9.187 Version/11.00,"Traceback (most recent call last):
  File ""/app/account.py"", line 77, in <module>
    raise Exception('User session expired')
Exception: User session expired"
15,Cart update failed,400,2023-10-16 10:17:18.101284,175,152.29.115.141,https://www.apparentintelligence.com/cart,POST,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/3.1),"Traceback (most recent call last):
  File ""/app/product-listing.py"", line 386, in <module>
    raise Exception('Failed to load checkout page')
Exception: Failed to load checkout page"
16,Search query failed,500,2023-10-16 11:03:41.101284,5,6.63.163.225,https://www.apparentintelligence.com/search,POST,Mozilla/5.0 (compatible; MSIE 5.0; Windows CE; Trident/3.0),"Traceback (most recent call last):
  File ""/app/cart.py"", line 102, in <module>
    raise Exception('Failed to load product details')
Exception: Failed to load product details"
